text,actual_content,actual_wording,predicted_content,predicted_wording
The third wave was an experimentto see how people reacted to a new one leader government. It gained popularity as people wanted to try new things. The students follow anything that is said and start turning on eachother to gain higher power. They had to stop the experement as too many people got to radical with it blindly following there leader,0.33892937569277887,0.3610636893760545,0.021814562814151284,0.9781854670167918
They would rub it up with soda to make the smell go away and it wouldnt be a bad smell. Some of the meat would be tossed on the floor where there was sawdust spit of the workers and they would make the meat all over again with the things in it.,0.200360318410231,0.38200672159075233,0.5977805306752243,0.4022194138459573
"In Egypt, there were many occupations and social classes involved in day-to-day living. In many instances if you were at the bottom of the social ladder you could climb up, you didn't have to stay a peasant you could work to bring your status up. Everyone worshipped the gods Ra, Osiris, and Isis, but also they would worship their pharaohs like gods as well. Under the pharaohs were the priests, they had the responsibility to entertain or please the said god. The Chain of Command was placed to keep everyone in check, not one person could handle all the civilians and treasures without any aid. Like the tax collector, called a vizier like stated they were in charge of collecting the peoples' tax. They were also one of the rare instances who were able to read and write, that's how they were granted ""vizier"" Also the soldiers did many things as they would fight in wars or ""quelled domestic uprisings"". They were in charge of getting the slaves, farmers, and peasants to build palaces or the famous ancient pyramids. More skilled hardworking workers had occupations of craftsmen or women and physicians. This would mostly make up the middle-class people. The creative craftsmen would often make jewelry, papyrus products, pottery, tools, and many useful things people may need . Of course, you would need merchants to sell the goods to people who would pay for it.",0.8761689570769526,1.0,4.439935803016645e-11,0.9999999999999999
The highest class was Pharaohs these people were gods.Then the 2nd highest class was a gonvener.Chiefs minister were called a vizier as a supervisor. (par.6),0.26242164121043526,0.21970106079902796,0.7924143794242504,0.2075856409876132
"The Third Wave developed  rapidly because the students genuinly believed that it was the best course of action. Their grades, acomplishments, and classparticipation/ behavior had improved dramatically since the experiment began. There did not seem to be any consiquenses in the students eyes. They became extremely engaged in all the Third Wave activites both inside and outside tha classroom. The experiment ended because the students were so patriotic about the ""movement"". The history class of thirty rapidly grew to 200 in three days.  That means 170 students joined a school ""movement"" in two days. Thats 85 people per day! On the fifth and final day all the students had completley believed that the ""Third Wave"" was a movement that would expell democracy. They believed a candidate from the ""movement"" would anounce its existance on television after five days of its success. The creater, Ron Jones, believed it had gone too far and for everyone's safety he shut it down.  If he hadn't the fake organization would have grown into something out of his controll. The Third Wave only lasted for a week. It could have spiralled into the American version of the Nazi Party, which is the opposite of what America stands for.",0.902627238783186,0.8321691311943624,7.707396130028487e-10,0.9999999999999999
They would use chemicals and substances to change the color or hide the foul odors to cover up spoiled meat. They would also shred up spoiled and normal meat together into sausage and use many different substances to mask the signs of spoiling.,0.33892937569277887,0.3610636893760545,0.1762858280606648,0.8237141879679956
The Egyptian society is really different from other socicties I have learned about. As stated in the story in paragraph 6-13 it describes how people are in different places in the pyramid. Also tells us how people are treated and what they have to pay for things and the higher people have things more easy.All the classes have a different purpose which are important in their different wyas. This is how social classes are involved in there government.,0.33892937569277887,0.3610636893760545,0.4363146833876182,0.5636853195897074
"Many times the factories would, according to the text, ¨rub it up with soda to take away the smell."" that is just one of the ways some of the aother ways were rubbing chemicals on the meat and cooking the meat until the rotted smell again. ",0.13960488414438532,0.137580886442235,0.9932728201253624,0.006727149095540854
1 element of an ideal tragedy is that it should be arranged on a complex plan.  Another element of an ideal tragedy is that it should only have one main issue. The last element of an ideal tragedy is that it should have a double thread plot and an opposite catastrophe for both good and bad.,0.26242164121043526,0.21970106079902796,0.5625993164917806,0.4374006873839473
"The three elements of an ideal tragedy are:  Having a character that isn't bad have misfortune befall them.,  Having no subplots, and ending in death.  ",0.12281675706605044,0.22872032211068427,0.8750564159553124,0.12494354543964613
We have the gods and then Logan  and If Logan do something wh know what but then we have Frank and If Frank is go arund get people.,0.016788127078335935,0.05546071208544137,0.9999986886937506,1.3536590383381831e-06
"The factory covered up and used spolied meat in a shady way. What I mean by this is that they would do things such as chop the spoiled meats into sausage. Another thing is that some meat that was covered in millions of spit germs and were placed in leaky roof rooms with thousands of rats. The workers even placed poisoned bread for the rats to kill them and would put the rats, breads, and meat into hoppers together. In the text, it described these instances specifically. But to make things a little more worse, they washed their hands in the water that was ladled into the sausage. ",0.5247078444709141,0.49154538374187223,5.4788902575297675e-05,0.9999451635572274
"The social classes are different because they have different activities to do like the ""slaves and farmers. Slavery became the fate of those captured as prisoners of war. In addition to being forced to work on building projects, slaves toiled at the discretion of the pharaoh or nobles"". The only way you can go up in the social class is by going to school and becoming a scribe so you have to grow up as a government official to be one.",0.28897856688640705,0.17926972887391768,0.8378951293350606,0.16210484669673597
"Aristotle states that an ideal tragedy should have a ""complex plan"" (a well-thought-out plot), ""imitate actions which excite pity and fear"" (present ideas that might evoke certain emotions from the audience), and should only have a ""single... issue"", with the ""change of fortune"" being from ""good to bad"" (or a character's downfall). ",0.22985967291076387,0.2009899660679632,0.8077043295035661,0.19229564631344997
"The third wave only started as an experiment within the class but it slowly spread through kids partipating outside of class. Some kids we're even reporting back to Mr. Jones if another student didn't abide by the rules. As more and more kids joined the ""movement"" Mr. Jones realized it was slipping out of control so he terminated the movement.",0.33892937569277887,0.3610636893760545,0.480510293569048,0.5194896501178607
"The factory would rub up the spoiled meat with sode to get rid of the odor. Rejected meat would be dosed with borax and glycerin, and dumped into the hoppers, and then madde over again for home consumption. ",0.07392250189896393,0.25059542243472555,0.9608311035117,0.03916894045010869
  In the egyptian structure the pharaohs and the nobels held the top positioan while pesents slave and famers worked at the base the pesents were considerd to be the famers and they often paid heavy taxes to the priest of the churchwhich was considerd tobe the king and was weathly.,0.20499566371244665,0.23030788032202282,0.9800730922078164,0.019926868071590925
"They would pickle it in an attempt to  keep it fresh. They would insert a hot iron that would burn off parts that had spoiled. They would make different products that hid the spoiled meat,and they would rub chemical ¨soda¨ on  the exterior of the meat to kill of mold and other things covering the spoiled meat.According to the text, ¨a man could fill a ham with pickle in a few seconds¨.This shows how they would pickle meat and it would still turn bad.The text also states that ¨ they would extract the bone, about which the bad part generally lay, and insert in the hole a white-hot iron.¨  This shows the process of them burning the spoil off. The passage also states that ¨ they would rub it up with soda to take away the smell, and sell it to be eaten on free-lunch counters¨. This qoute  shows how they would use ¨sodas¨to help meat appear freash.",0.7502688594343168,0.5264066854662173,0.002235947461365419,0.9977641036507786
"The experimen was orginally about how even when terrible thngs were happening, they would still follow the crowd. ""The Thrid Wave"" the experiment was called was about strength, with the mythical belief that the third wave of a series of waves was the strongest of them all. As the participants of the experiment grew, and the loyalty grew stronger, Jones decided to end the experiment, because he thought something horrible would happen as it went on.",0.40551214685008125,0.45871633418431296,0.03457105804344672,0.9654289010975127
One element of an Ideal tragedy is having a complex plan that imitates action that excite pity and fear to result in shock for the audience. Another element is that an ideal tragedy should be relatable to the audience. The character that experiences the tragedy should be neither good nor bad and simply made a very big mistake.,0.3174636355299417,0.199242939419092,0.822112664549383,0.17788726666651364
The third wave developed so quickly due to the students particip in thos experiment. It quickly took a new life of itself and grew out of contro.,0.1337775472529286,0.2843540767824938,0.7766791812683858,0.22332077942670683
"The 3 ideal of tragedy is how complex you need to make it for the reader it keeps the reader shocked and ineretsed the second ideal is how a character is portraded either terrible or good and lasty ""second rank"" is whats called when a tragyed happends because the audience wants it to happend however it more for comdey purpose.",0.17481767859125721,0.2214480874478994,0.961908401200528,0.03809160551592645
"Tragedy much b complex, Tragedy much b complex, t must be a man that is NOT perfect, and their downfall is a result of a mistake or weakness.",0.016788127078335935,0.05546071208544137,0.9999979734357962,2.088996873667122e-06
"Since it was the custom, whenever meat was so spoiled that it could not be used for anything else, either to can it or else to chop it up into sausage. It was only when the whole ham was spoiled that it came into the department of Elzbieta. Cut up by the two-thousand-revolutions-a-minute flyers, and mixed with half a ton of other meat, no odor that ever was in a ham could make any difference. There was never the least attention paid to what was cut up for sausage; there would come all the way back from Europe old sausage that had been rejected, and that was moldy and white, it would be dosed with borax and glycerine, and dumped into the hoppers, and made over again for home consumption. There would be meat that had tumbled out on the floor, in the dirt and sawdust, where the workers had tramped and spit uncounted billions of consumption germs. There would be meat stored in great piles in rooms; and the water from leaky roofs would drip over it, and thousands of rats would race about on it. It was too dark in these storage places to see well, but a man could run his hand over these piles of meat and sweep off handfuls of the dried dung of rats. These rats were nuisances, and the packers would put poisoned bread out for them; they would die, and then rats, bread, and meat would go into the hoppers together.",0.23087395876776204,0.0,0.9995710240419114,0.00042897735452618194
"   First on the pyramid were the Pharaohs. The pharaohs were considered to be gods and they were greatly respected. They also made important laws. In the next section of the pyramid were priests and government officials. They were considered Nobles and they were in charge of temples and taxes. They were very wealthy. Next were scribes and artisans. They are both in the middle of the pyramid. Artisans painted, made jewelry, pottery and more. Scribes wrote down important records and laws. On the bottom was slaves. Slaves were captured in war. They usually farmed or built stuff ordered by the Pharaoh.  Farmers planted crops and tended to the animals. ",0.5656823822454229,0.40085064202887016,0.0002607572945609072,0.9997392288726847
"Jonas had told them how the meat that was taken out of pickle would often be found sour, and how they would rub it up with soda to take away the smell, and sell it to be eaten on free-lunch counters; also of all the miracles of chemistry which they performed, giving to any sort of meat, fresh or salted, whole or chopped, any color and any flavor and any odor they chose.",0.23087395876776204,0.0,0.9998438353466457,0.00015613936343771562
